Inbox Name,File Name,Total Conversations,Multi-Turn Conversations,Single-Turn Conversations,Not Responded Conversations,Empty Messages Conversations,Remaining Conversations
Human,Feb 02.json,44,26,3,6,8,1
Human,Feb 03.json,1,0,1,0,0,0
Human,Feb 04.json,16,0,2,8,4,2
Human,Feb 05.json,26,22,0,2,0,2
Human,Feb 06.json,3,0,0,2,1,0
Human,Feb 07.json,3,0,0,3,0,0
Human,Feb 26.json,1,0,0,1,0,0
Human,Jan 08.json,1,1,0,0,0,0
Human,Jan 19.json,1,0,0,0,0,1
Human,Jan 22.json,2,0,0,0,0,2
Human,Jan 23.json,2,0,1,0,0,1
Human,Jan 24.json,1,0,0,0,0,1
Human,Jan 29.json,66,53,6,0,2,5
Human,Jan 30.json,96,73,7,1,5,10
Human,Jan 31.json,50,27,6,10,5,2
Human,selected_conversations.json,330,205,27,39,27,32
VOGPT1,Feb 07.json,2,2,0,0,0,0
VOGPT1,Feb 08.json,22,18,4,0,0,0
VOGPT1,Feb 09.json,3,3,0,0,0,0
VOGPT1,Feb 12.json,3,1,1,0,1,0
VOGPT1,Feb 13.json,2,2,0,0,0,0
VOGPT1,Feb 14.json,2,1,0,0,1,0
VOGPT1,Feb 16.json,2,0,2,0,0,0
VOGPT1,Feb 18.json,2,2,0,0,0,0
VOGPT1,Feb 19.json,33,26,2,0,5,0
VOGPT1,Feb 21.json,1,1,0,0,0,0
VOGPT1,Feb 24.json,2,1,1,0,0,0
VOGPT1,Feb 25.json,2,2,0,0,0,0
VOGPT1,Feb 26.json,1,1,0,0,0,0
VOGPT1,Feb 27.json,1,1,0,0,0,0
VOGPT1,Feb 28.json,28,16,3,2,7,0
VOGPT1,selected_conversations.json,106,77,13,2,14,0
PGPT1,Feb 01.json,17,11,0,0,6,0
PGPT1,Feb 02.json,9,8,0,0,1,0
PGPT1,Feb 03.json,4,4,0,0,0,0
PGPT1,Feb 04.json,2,1,0,0,1,0
PGPT1,Feb 05.json,17,14,0,0,3,0
PGPT1,Feb 06.json,6,6,0,0,0,0
PGPT1,Feb 07.json,73,67,0,0,6,0
PGPT1,Feb 09.json,1,1,0,0,0,0
PGPT1,Feb 10.json,3,2,1,0,0,0
PGPT1,Feb 11.json,11,5,2,0,4,0
PGPT1,Feb 12.json,5,4,0,0,1,0
PGPT1,Feb 13.json,2,1,1,0,0,0
PGPT1,Feb 15.json,2,1,1,0,0,0
PGPT1,Feb 16.json,4,1,0,0,3,0
PGPT1,Feb 17.json,6,2,1,0,3,0
PGPT1,Feb 20.json,5,0,0,3,2,0
PGPT1,Feb 21.json,6,0,0,4,2,0
PGPT1,Feb 24.json,1,0,0,1,0,0
PGPT1,Feb 25.json,1,0,0,1,0,0
PGPT1,Jan 22.json,13,11,1,0,1,0
PGPT1,Jan 23.json,50,29,9,2,10,0
PGPT1,Jan 24.json,51,38,1,0,12,0
PGPT1,Jan 25.json,52,36,2,0,14,0
PGPT1,Jan 26.json,41,28,0,1,12,0
PGPT1,Jan 27.json,137,82,4,0,51,0
PGPT1,Jan 28.json,81,64,3,0,14,0
PGPT1,Jan 29.json,86,70,1,0,15,0
PGPT1,Jan 30.json,86,66,1,0,19,0
PGPT1,Jan 31.json,296,179,15,0,102,0
PGPT1,selected_conversations.json,1068,731,43,12,282,0
